;DENV46/1;DENV46/182;DENV73/1;DENV73/182
1;0.32631;0.61366;0.24280;0.61366
1;0.33013;0.38878;0.34392;0.38878
1;0.22464;0.42726;0.26261;0.42726
1;0.33489;0.39523;0.26847;0.39523
1;0.24431;0.23824;0.20947;0.23824
1;0.29031;0.29460;0.23828;0.29460
1;0.24785;0.31137;0.27920;0.31137
1;0.24100;0.37303;0.39085;0.37303
1;0.25772;0.38662;0.22828;0.38662
1;0.29116;0.42983;0.28746;0.42983
1;0.25932;0.39071;0.19247;0.39071
1;0.27663;0.55068;0.34446;0.55068
1;0.26968;0.25422;0.20348;0.25422
1;0.23638;0.35362;0.23815;0.35362
1;0.20816;0.31533;0.25764;0.31533
1;0.20626;0.32113;0.31199;0.32113
1;0.25390;0.20614;0.30043;0.20614
1;0.24759;0.32549;0.25881;0.32549
1;0.22605;0.22917;0.21187;0.22917
1;0.35254;0.41086;0.35242;0.41086
1;0.34036;0.46012;0.31049;0.46012
1;0.20470;0.25588;0.23391;0.25588
1;0.26877;0.32649;0.30335;0.32649
1;0.21610;0.27919;0.27291;0.27919
1;0.21359;0.28823;0.19898;0.28823
1;0.29870;0.45914;0.27859;0.45914
1;0.26808;0.49276;0.22216;0.49276
1;0.27097;0.32280;0.31789;0.32280
1;0.21985;0.48708;0.20715;0.48708
1;0.24290;0.41244;0.28363;0.41244
1;0.24760;0.40423;0.29309;0.40423
1;0.27066;0.28461;0.24409;0.28461
1;0.22237;0.31420;0.24654;0.31420
1;0.18115;0.28770;0.31023;0.28770
1;0.28281;0.29351;0.23306;0.29351
1;0.24601;0.35089;0.25543;0.35089
1;0.31059;0.25227;0.27665;0.25227
1;0.27971;0.40525;0.26148;0.40525
1;0.25047;0.40697;0.23936;0.40697
1;0.28669;0.48279;0.23149;0.48279
1;0.22766;0.34533;0.19388;0.34533
1;0.26360;0.22527;0.25377;0.22527
1;0.31745;0.33744;0.22654;0.33744
1;0.25257;0.44368;0.29674;0.44368
1;0.25194;0.33029;0.26088;0.33029
1;0.28150;0.44571;0.39823;0.44571
1;0.24725;0.42825;0.21966;0.42825
1;0.23546;0.25299;0.25040;0.25299
