;DENV46/1;DENV46/182;DENV73/1;DENV73/182
y119;0.41017;0.43636;0.34321;0.43636
y120;0.25988;0.30562;0.31460;0.30562
y121;0.19516;0.57499;0.26669;0.57499
y122;0.23264;0.39121;0.20262;0.39121
y123;0.28079;0.21334;0.22660;0.21334
y124;0.13255;0.12382;0.14568;0.12382
y125;0.24271;0.27796;0.25041;0.27796
y126;0.26182;0.43523;0.30422;0.43523
y127;0.20562;0.19266;0.19332;0.19266
y128;0.24480;0.30113;0.19406;0.30113
y129;0.22493;0.52472;0.20823;0.52472
y130;0.35584;0.38810;0.28371;0.38810
y131;0.24726;0.50086;0.21429;0.50086
y132;0.25648;0.47287;0.21332;0.47287
y133;0.27915;0.25422;0.22712;0.25422
y134;0.22888;0.38847;0.23478;0.38847
y135;0.24380;0.61995;0.29160;0.61995
y136;0.23051;0.38392;0.26866;0.38392
y137;0.19740;0.17540;0.18918;0.17540
y138;0.29498;0.42773;0.35103;0.42773
y139;0.40492;0.49007;0.40773;0.49007
y140;0.27676;0.51630;0.25763;0.51630
y141;0.20098;0.43461;0.27010;0.43461
y142;0.21068;0.36180;0.27975;0.36180
y143;0.29266;0.43214;0.28132;0.43214
y144;0.24416;0.35953;0.30937;0.35953
y145;0.32631;0.61366;0.24280;0.61366
y146;0.33013;0.38878;0.34392;0.38878
y147;0.22464;0.42726;0.26261;0.42726
y148;0.33489;0.39523;0.26847;0.39523
y149;0.24431;0.23824;0.20947;0.23824
y150;0.29031;0.29460;0.23828;0.29460
y151;0.24785;0.31137;0.27920;0.31137
y152;0.24100;0.37303;0.39085;0.37303
y153;0.25772;0.38662;0.22828;0.38662
y154;0.29116;0.42983;0.28746;0.42983
y155;0.25932;0.39071;0.19247;0.39071
y156;0.27663;0.55068;0.34446;0.55068
y157;0.26968;0.25422;0.20348;0.25422
y158;0.23638;0.35362;0.23815;0.35362
y159;0.20816;0.31533;0.25764;0.31533
y160;0.20626;0.32113;0.31199;0.32113
y161;0.25390;0.20614;0.30043;0.20614
y162;0.24759;0.32549;0.25881;0.32549
y163;0.22605;0.22917;0.21187;0.22917
y164;0.35254;0.41086;0.35242;0.41086
y165;0.34036;0.46012;0.31049;0.46012
y166;0.20470;0.25588;0.23391;0.25588
y167;0.26877;0.32649;0.30335;0.32649
y168;0.21610;0.27919;0.27291;0.27919
y169;0.21359;0.28823;0.19898;0.28823
y170;0.29870;0.45914;0.27859;0.45914
y171;0.26808;0.49276;0.22216;0.49276
y172;0.27097;0.32280;0.31789;0.32280
y173;0.21985;0.48708;0.20715;0.48708
y174;0.24290;0.41244;0.28363;0.41244
y175;0.24760;0.40423;0.29309;0.40423
y176;0.27066;0.28461;0.24409;0.28461
y177;0.22237;0.31420;0.24654;0.31420
y178;0.18115;0.28770;0.31023;0.28770
y179;0.28281;0.29351;0.23306;0.29351
y180;0.24601;0.35089;0.25543;0.35089
y181;0.31059;0.25227;0.27665;0.25227
y182;0.27971;0.40525;0.26148;0.40525
y183;0.25047;0.40697;0.23936;0.40697
